#TYPE System.Management.Automation.PSCustomObject
"batchid"	"dbid"	"clientid"	"loadnr"	"orig_dcb"	"conv_dcb"	"orig_dir"	"st_backup"	"st_backup_arch"	"st_get_natives"	"st_get_images"	"st_get_images2"	"st_add_db"	"st_add_natives"	"st_db_sizes"	"db_bytes"	"db_files"	"natives_bytes"	"natives_files_present"	"natives_files_missing"	"images_bytes"	"images_files_present"	"images_files_missing"	"st_qc_tags"	"st_qc_compare_tags"	"st_convert"	"st_get_arch_db_files"	"st_sizes_natives"	"st_sizes_images"	"st_all"
"3"	"1"	"2 - 002383.000014"	""	"X:\002383\000014\Standard_Oppenheimer_Opposing_Production\OPPOSING_PRODUCTION.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002383\000014\Standard_Oppenheimer_Opposing_Production\OPPOSING_PRODUCTION.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"3476821"	"29"	"25192716"	"38"	"0"	"30673260"	"423"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"2"	"3 - 002383.000014"	""	"X:\002383\000014\Standard_Oppenheimer_Email_Review_DB_Vol_II\EMAIL_REVIEW_DB_2.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002383\000014\Standard_Oppenheimer_Email_Review_DB_Vol_II\EMAIL_REVIEW_DB_2.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"1357668"	"17"	"0"	"0"	"0"	"0"	"0"	"39580"	""	""	""	""	"2"	"2"	"2"
"3"	"3"	"4 - 002423.000002"	""	"X:\002423\000002\SOMPO_HARDCOPY_REVIEW_DB\SOMPO_HARDCOPY_REVIEW_DB.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002423\000002\SOMPO_HARDCOPY_REVIEW_DB\SOMPO_HARDCOPY_REVIEW_DB.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"2198608"	"33"	"173561"	"2"	"0"	"4065019"	"154"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"4"	"5 - 002423.000002"	""	"X:\002423\000002\Sompo_Transactions_Native_Review_DB\SOMPO_TRANSACTIONS_NATIVE_REVIEW_DB.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002423\000002\Sompo_Transactions_Native_Review_DB\SOMPO_TRANSACTIONS_NATIVE_REVIEW_DB.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"4138478"	"35"	"21017107"	"245"	"0"	"13714978"	"366"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"5"	"6 - 002510.000004"	""	"X:\002510\000004\McKinsey_New_Stream_McKinsey_Review_DB\MCKINSEY_REVIEW_DB.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002510\000004\McKinsey_New_Stream_McKinsey_Review_DB\MCKINSEY_REVIEW_DB.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"24466092"	"31"	"50759393"	"943"	"0"	"381027588"	"7214"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"6"	"7 - 002514.000010"	""	"X:\002514\000010\WTC_Vitro_Litigation_USBank_Production\USBANK_PRODUCTION.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002514\000010\WTC_Vitro_Litigation_USBank_Production\USBANK_PRODUCTION.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"273435894"	"27"	"343552"	"2"	"0"	"7979384796"	"94698"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"7"	"8 - 002749.000001"	""	"X:\002749\000001\SOLARRE_Production\SOLARRE_REVIEW.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002749\000001\SOLARRE_Production\SOLARRE_REVIEW.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"23109613"	"32"	"541890425"	"1214"	"0"	"203517421"	"4406"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"8"	"9 - 002749.000001"	""	"X:\002749\000001\LSE_Production\LSE_PRODUCTION.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002749\000001\LSE_Production\LSE_PRODUCTION.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"19226066"	"33"	"75545033"	"153"	"788"	"185200660"	"3894"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"9"	"10 - 002813.000001"	""	"X:\002813\000001\CX_Exhibits\CX_001.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002813\000001\CX_Exhibits\CX_001.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"452207915"	"28"	"0"	"0"	"0"	"63188279877"	"257759"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"10"	"11 - 002943.000002"	""	"X:\002943\000002\HL_Review\PAUL_WEISS\RIM_RESPONSIVE.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002943\000002\HL_Review\PAUL_WEISS\RIM_RESPONSIVE.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"6710983"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"11"	"12 - 002943.000002"	""	"X:\002943\000002\HL_Review\PrivilegeLog\RIM_BIDCO_PRIVILEGE_LOG.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002943\000002\HL_Review\PrivilegeLog\RIM_BIDCO_PRIVILEGE_LOG.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"17686907"	"33"	"98849679"	"482"	"0"	"118559772"	"2880"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"12"	"13 - 002943.000002"	""	"X:\002943\000002\HL_Review\TO_Client_20111020\BIDCO_REVIEW.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002943\000002\HL_Review\TO_Client_20111020\BIDCO_REVIEW.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"8120140"	"29"	"88875543"	"523"	"12"	"103667716"	"2545"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"13"	"14 - 002943.002944"	""	"X:\002943\002944\000001\HL_Production\HRG_PROD.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\002943\002944\000001\HL_Production\HRG_PROD.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"1298986"	"25"	"0"	"0"	"519"	"0"	"0"	"0"	""	""	""	""	"2"	"2"	"2"
"3"	"14"	"15 - 003156.000001"	""	"X:\003156\000001\SKULLCANDYPROD002\SKULLCANDYPROD002.DCB"	"W:\_LN_Test\\Bkups-Batch3-for-Archiving-Analysis\003156\000001\SKULLCANDYPROD002\SKULLCANDYPROD002.DCB"	""	""	"2"	"2"	"2"	"2"	""	""	"2"	"80150017"	"17"	"0"	"0"	"0"	"0"	"0"	"43951"	""	""	""	""	"2"	"2"	"2"
